demographic,category,measure,label,value,r,theme
All Civil Servants,All Civil Servants,EES,Employee engagement index,0.58,302170,SUMMARY
All Civil Servants,All Civil Servants,MW,My work  theme score,0.73,302170,SUMMARY
All Civil Servants,All Civil Servants,OP,Organisational objectives and purpose  theme score,0.8,302170,SUMMARY
All Civil Servants,All Civil Servants,LM,My manager  theme score,0.69,302170,SUMMARY
All Civil Servants,All Civil Servants,MT,My team  theme score,0.81,302170,SUMMARY
All Civil Servants,All Civil Servants,LD,Learning and development  theme score,0.54,302170,SUMMARY
All Civil Servants,All Civil Servants,IF,Inclusion and fair treatment  theme score,0.76,302170,SUMMARY
All Civil Servants,All Civil Servants,RW,Resources and workload  theme score,0.71,302170,SUMMARY
All Civil Servants,All Civil Servants,PB,Pay and benefits  theme score,0.3,302170,SUMMARY
All Civil Servants,All Civil Servants,LC,Leadership and managing change  theme score,0.43,302170,SUMMARY
All Civil Servants,All Civil Servants,B01,I am interested in my work,0.88,302170,MW
All Civil Servants,All Civil Servants,B02,I am sufficiently challenged by my work,0.8,302170,MW
All Civil Servants,All Civil Servants,B03,My work gives me a sense of personal accomplishment,0.75,302170,MW
All Civil Servants,All Civil Servants,B04,I feel involved in the decisions that affect my work,0.55,302170,MW
All Civil Servants,All Civil Servants,B05,I have a choice in deciding how I do my work,0.69,302170,MW
All Civil Servants,All Civil Servants,B06,I have a clear understanding of [my organisation's] objectives,0.79,302170,OP
All Civil Servants,All Civil Servants,B07,I understand how my work contributes to [my organisation's] objectives,0.81,302170,OP
All Civil Servants,All Civil Servants,B08,My manager motivates me to be more effective in my job,0.7,302170,LM
All Civil Servants,All Civil Servants,B09,My manager is considerate of my life outside work,0.82,302170,LM
All Civil Servants,All Civil Servants,B10,My manager is open to my ideas,0.8,302170,LM
All Civil Servants,All Civil Servants,B11,My manager helps me to understand how I contribute to [my organisation's] objectives,0.66,302170,LM
All Civil Servants,All Civil Servants,B12,"Overall, I have confidence in the decisions made by my manager",0.74,302170,LM
All Civil Servants,All Civil Servants,B13,My manager recognises when I have done my job well,0.78,302170,LM
