year,organisation_code,organisation,departmental_group,orgsort,qsort,theme,measure,label,value
2019,CS_MEDIAN,Civil Service Benchmark (median),Civil Service,1,0,SUMMARY,RR,Response rate,0.8
2019,CS_MEDIAN,Civil Service Benchmark (median),Civil Service,1,1,SUMMARY,EES,Employee engagement index,0.63
2019,CS_MEDIAN,Civil Service Benchmark (median),Civil Service,1,2,SUMMARY,MW,My work theme score,0.77
2019,CS_MEDIAN,Civil Service Benchmark (median),Civil Service,1,3,SUMMARY,OP,Organisational objectives and purpose theme score,0.83
2019,CS_MEDIAN,Civil Service Benchmark (median),Civil Service,1,4,SUMMARY,LM,My manager theme score,0.71
2019,CS_MEDIAN,Civil Service Benchmark (median),Civil Service,1,5,SUMMARY,MT,My team theme score,0.82
2019,CS_MEDIAN,Civil Service Benchmark (median),Civil Service,1,6,SUMMARY,LD,Learning and development theme score,0.55
2019,CS_MEDIAN,Civil Service Benchmark (median),Civil Service,1,7,SUMMARY,IF,Inclusion and fair treatment theme score,0.79
2019,CS_MEDIAN,Civil Service Benchmark (median),Civil Service,1,8,SUMMARY,RW,Resources and workload theme score,0.74
2019,CS_MEDIAN,Civil Service Benchmark (median),Civil Service,1,9,SUMMARY,PB,Pay and benefits theme score,0.34
2019,CS_MEDIAN,Civil Service Benchmark (median),Civil Service,1,10,SUMMARY,LC,Leadership and managing change theme score,0.49
2019,CS_MEDIAN,Civil Service Benchmark (median),Civil Service,1,11,MW,B01,I am interested in my work,0.9
2019,CS_MEDIAN,Civil Service Benchmark (median),Civil Service,1,12,MW,B02,I am sufficiently challenged by my work,0.8
2019,CS_MEDIAN,Civil Service Benchmark (median),Civil Service,1,13,MW,B03,My work gives me a sense of personal accomplishment,0.78
2019,CS_MEDIAN,Civil Service Benchmark (median),Civil Service,1,14,MW,B04,I feel involved in the decisions that affect my work,0.6
2019,CS_MEDIAN,Civil Service Benchmark (median),Civil Service,1,15,MW,B05,I have a choice in deciding how I do my work,0.78
2019,CS_MEDIAN,Civil Service Benchmark (median),Civil Service,1,16,OP,B06,I have a clear understanding of [my organisation's] objectives,0.82
2019,CS_MEDIAN,Civil Service Benchmark (median),Civil Service,1,17,OP,B07,I understand how my work contributes to [my organisation's] objectives,0.84
2019,CS_MEDIAN,Civil Service Benchmark (median),Civil Service,1,18,LM,B08,My manager motivates me to be more effective in my job,0.72
2019,CS_MEDIAN,Civil Service Benchmark (median),Civil Service,1,19,LM,B09,My manager is considerate of my life outside work,0.87
2019,CS_MEDIAN,Civil Service Benchmark (median),Civil Service,1,20,LM,B10,My manager is open to my ideas,0.83
2019,CS_MEDIAN,Civil Service Benchmark (median),Civil Service,1,21,LM,B11,My manager helps me to understand how I contribute to [my organisation's] objectives,0.67
2019,CS_MEDIAN,Civil Service Benchmark (median),Civil Service,1,22,LM,B12,"Overall, I have confidence in the decisions made by my manager",0.76
2019,CS_MEDIAN,Civil Service Benchmark (median),Civil Service,1,23,LM,B13,My manager recognises when I have done my job well,0.8
2019,CS_MEDIAN,Civil Service Benchmark (median),Civil Service,1,24,LM,B14,I receive regular feedback on my performance,0.69
2019,CS_MEDIAN,Civil Service Benchmark (median),Civil Service,1,25,LM,B15,The feedback I receive helps me to improve my performance,0.65
